time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,Open time,Close time
2021-03-01T00:00:13.5060000Z,2021-03-01T00:04:55.2950000Z,1424.29,1429.83,1416.49,1417.54,153.90347947,27,2021-03-01 00:00:00+00:00,2021-03-01 00:05:00+00:00
2021-03-01T00:05:10.6350000Z,2021-03-01T00:09:52.0940000Z,1415.92,1420.54,1413.44,1420.54,326.65125509,39,2021-03-01 00:05:00+00:00,2021-03-01 00:10:00+00:00
2021-03-01T00:11:05.3190000Z,2021-03-01T00:14:59.9710000Z,1417.06,1424.32,1417.06,1424.32,345.44312054,45,2021-03-01 00:10:00+00:00,2021-03-01 00:15:00+00:00
2021-03-01T00:15:00.1020000Z,2021-03-01T00:19:17.9650000Z,1424.32,1448.9,1424.32,1447.47,164.69914995,42,2021-03-01 00:15:00+00:00,2021-03-01 00:20:00+00:00
2021-03-01T00:20:30.6680000Z,2021-03-01T00:24:59.4310000Z,1449.54,1450.32,1441.46,1444.02,75.31791894,44,2021-03-01 00:20:00+00:00,2021-03-01 00:25:00+00:00
2021-03-01T00:25:14.3490000Z,2021-03-01T00:29:35.9870000Z,1443.94,1444.37,1442.25,1442.25,150.66652364,33,2021-03-01 00:25:00+00:00,2021-03-01 00:30:00+00:00
2021-03-01T00:30:10.8610000Z,2021-03-01T00:34:41.2790000Z,1443.55,1453.74,1443.55,1450.75,160.48295833,50,2021-03-01 00:30:00+00:00,2021-03-01 00:35:00+00:00
2021-03-01T00:35:33.6510000Z,2021-03-01T00:39:26.6640000Z,1450.04,1450.49,1446.72,1450.36,149.27923416,32,2021-03-01 00:35:00+00:00,2021-03-01 00:40:00+00:00
2021-03-01T00:40:07.8790000Z,2021-03-01T00:44:23.6770000Z,1447.66,1448.91,1444.87,1445.82,188.20082253,51,2021-03-01 00:40:00+00:00,2021-03-01 00:45:00+00:00
2021-03-01T00:45:06.1530000Z,2021-03-01T00:49:32.8330000Z,1445.79,1446.31,1443.04,1444.13,138.41672025,30,2021-03-01 00:45:00+00:00,2021-03-01 00:50:00+00:00
