time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,Open time,Close time
2022-11-01T00:00:36.3960000Z,2022-11-01T00:04:30.6480000Z,20493,20493,20458,20474,5.19433991,28,2022-11-01 00:00:00+00:00,2022-11-01 00:05:00+00:00
2022-11-01T00:05:07.7980000Z,2022-11-01T00:09:45.6670000Z,20482,20482,20457,20473,4.48542408,31,2022-11-01 00:05:00+00:00,2022-11-01 00:10:00+00:00
2022-11-01T00:10:03.1710000Z,2022-11-01T00:14:55.4030000Z,20469,20502,20466,20489,2.2139461,32,2022-11-01 00:10:00+00:00,2022-11-01 00:15:00+00:00
2022-11-01T00:15:02.5630000Z,2022-11-01T00:19:48.4760000Z,20490,20493,20478,20480,3.3829017,31,2022-11-01 00:15:00+00:00,2022-11-01 00:20:00+00:00
2022-11-01T00:20:02.0550000Z,2022-11-01T00:24:55.2690000Z,20478,20485,20469,20469,1.41385817,25,2022-11-01 00:20:00+00:00,2022-11-01 00:25:00+00:00
2022-11-01T00:25:14.8920000Z,2022-11-01T00:29:44.9260000Z,20461,20467,20448,20453,1.57251122,30,2022-11-01 00:25:00+00:00,2022-11-01 00:30:00+00:00
2022-11-01T00:30:17.3530000Z,2022-11-01T00:34:41.2420000Z,20482,20482,20454,20465,5.8417993,32,2022-11-01 00:30:00+00:00,2022-11-01 00:35:00+00:00
2022-11-01T00:35:01.5900000Z,2022-11-01T00:39:44.5780000Z,20463,20485,20462,20482,0.25478528,18,2022-11-01 00:35:00+00:00,2022-11-01 00:40:00+00:00
2022-11-01T00:40:14.3560000Z,2022-11-01T00:44:49.6640000Z,20478,20483,20469,20473,0.23062918,17,2022-11-01 00:40:00+00:00,2022-11-01 00:45:00+00:00
2022-11-01T00:45:14.4460000Z,2022-11-01T00:49:25.8120000Z,20471,20472,20460,20463,1.02246059,22,2022-11-01 00:45:00+00:00,2022-11-01 00:50:00+00:00
2022-11-01T00:50:31.8990000Z,2022-11-01T00:54:37.5690000Z,20461,20461,20450,20450,0.16705285,18,2022-11-01 00:50:00+00:00,2022-11-01 00:55:00+00:00
2022-11-01T00:55:21.2590000Z,2022-11-01T00:59:17.1920000Z,20452,20456,20449,20450,0.62766491,16,2022-11-01 00:55:00+00:00,2022-11-01 01:00:00+00:00
2022-11-01T01:00:17.6590000Z,2022-11-01T01:04:32.7630000Z,20457,20466,20455,20466,1.11800537,20,2022-11-01 01:00:00+00:00,2022-11-01 01:05:00+00:00
2022-11-01T01:05:45.7730000Z,2022-11-01T01:09:24.9950000Z,20465,20469,20463,20467,1.43969709,26,2022-11-01 01:05:00+00:00,2022-11-01 01:10:00+00:00
2022-11-01T01:10:42.2280000Z,2022-11-01T01:14:46.3390000Z,20468,20484,20468,20478,0.72940157,17,2022-11-01 01:10:00+00:00,2022-11-01 01:15:00+00:00
2022-11-01T01:15:14.7660000Z,2022-11-01T01:19:59.4990000Z,20477,20477,20457,20468,2.51736739,38,2022-11-01 01:15:00+00:00,2022-11-01 01:20:00+00:00
2022-11-01T01:20:02.1720000Z,2022-11-01T01:24:01.3260000Z,20469,20514,20468,20499,7.58743525,40,2022-11-01 01:20:00+00:00,2022-11-01 01:25:00+00:00
2022-11-01T01:25:06.7470000Z,2022-11-01T01:29:59.0010000Z,20507,20521,20498,20518,3.86827975,54,2022-11-01 01:25:00+00:00,2022-11-01 01:30:00+00:00
2022-11-01T01:30:26.7700000Z,2022-11-01T01:34:44.4990000Z,20522,20547,20522,20535,14.93630479,69,2022-11-01 01:30:00+00:00,2022-11-01 01:35:00+00:00
2022-11-01T01:35:00.9380000Z,2022-11-01T01:39:42.8300000Z,20537,20545,20534,20536,1.54921623,29,2022-11-01 01:35:00+00:00,2022-11-01 01:40:00+00:00
2022-11-01T01:40:11.2180000Z,2022-11-01T01:44:54.4650000Z,20533,20533,20508,20510,1.93991157,28,2022-11-01 01:40:00+00:00,2022-11-01 01:45:00+00:00
2022-11-01T01:45:39.5720000Z,2022-11-01T01:49:46.4610000Z,20506,20515,20505,20512,1.58492716,22,2022-11-01 01:45:00+00:00,2022-11-01 01:50:00+00:00
2022-11-01T01:50:26.4500000Z,2022-11-01T01:54:44.3590000Z,20504,20509,20496,20498,6.16126195,44,2022-11-01 01:50:00+00:00,2022-11-01 01:55:00+00:00
2022-11-01T01:55:03.7060000Z,2022-11-01T01:59:57.7100000Z,20500,20513,20498,20513,0.73303263,14,2022-11-01 01:55:00+00:00,2022-11-01 02:00:00+00:00
2022-11-01T02:00:00.8160000Z,2022-11-01T02:04:47.3860000Z,20511,20521,20498,20498,1.04867314,21,2022-11-01 02:00:00+00:00,2022-11-01 02:05:00+00:00
2022-11-01T02:05:04.1980000Z,2022-11-01T02:09:20.2700000Z,20501,20514,20501,20513,1.62745548,27,2022-11-01 02:05:00+00:00,2022-11-01 02:10:00+00:00
2022-11-01T02:10:07.3540000Z,2022-11-01T02:14:38.2300000Z,20510,20510,20501,20502,0.85015906,19,2022-11-01 02:10:00+00:00,2022-11-01 02:15:00+00:00
2022-11-01T02:15:13.6000000Z,2022-11-01T02:19:49.4220000Z,20508,20508,20495,20498,2.55381934,32,2022-11-01 02:15:00+00:00,2022-11-01 02:20:00+00:00
2022-11-01T02:20:19.6550000Z,2022-11-01T02:24:32.2330000Z,20504,20505,20494,20499,0.38979959,14,2022-11-01 02:20:00+00:00,2022-11-01 02:25:00+00:00
2022-11-01T02:25:16.5950000Z,2022-11-01T02:29:58.0620000Z,20508,20513,20504,20505,2.44945812,24,2022-11-01 02:25:00+00:00,2022-11-01 02:30:00+00:00
2022-11-01T02:30:00.0590000Z,2022-11-01T02:34:44.7500000Z,20504,20540,20504,20513,0.43632,19,2022-11-01 02:30:00+00:00,2022-11-01 02:35:00+00:00
2022-11-01T02:35:10.6310000Z,2022-11-01T02:39:55.8660000Z,20512,20539,20512,20529,3.85709216,32,2022-11-01 02:35:00+00:00,2022-11-01 02:40:00+00:00
2022-11-01T02:40:12.9530000Z,2022-11-01T02:44:13.9150000Z,20536,20536,20531,20533,2.80249556,20,2022-11-01 02:40:00+00:00,2022-11-01 02:45:00+00:00
2022-11-01T02:45:15.9420000Z,2022-11-01T02:49:41.3180000Z,20537,20564,20537,20558,10.30564244,45,2022-11-01 02:45:00+00:00,2022-11-01 02:50:00+00:00
2022-11-01T02:50:13.6320000Z,2022-11-01T02:54:52.4590000Z,20559,20577,20559,20573,3.64970907,21,2022-11-01 02:50:00+00:00,2022-11-01 02:55:00+00:00
